"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
1,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Aoinishi","Hamamatsu","1H30-2H",28000000,"","120",,"Semi-square Shaped","10.0","140","2000","S","House","House","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
2,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Aoinishi","Hamamatsu","1H30-2H",13000000,"","165",80000,"Semi-rectangular Shaped","10.0","","","","","","Southeast","City Road",5.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
3,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Aoihigashi","Hamamatsu","1H-1H30",22000000,"","220",,"Semi-rectangular Shaped","11.5","390","1978","RC","Housing Complex","House","Southeast","City Road",4.4,"Near Commercial District",80,300,"4th quarter 2017","",""
4,"Residential Land(Land Only)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Aoihigashi","Hamamatsu","1H-1H30",19000000,"","240",79000,"Semi-rectangular Shaped","11.5","","","","","","West","National Highway",13.2,"Near Commercial District",80,300,"4th quarter 2017","",""
5,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Asahicho","Hamamatsu","4",120000000,"","130",,"Semi-rectangular Shaped","8.0","520","1966","RC","House, Shop","Shop","East","City Road",28.0,"Commercial District",80,600,"4th quarter 2017","",""
6,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Azukimochi","Hamamatsu","1H-1H30",31000000,"","280",,"Semi-rectangular Shaped","13.0","100","2017","W","House","House","Northeast","Private Road",7.0,"Category 1 Residential District",60,200,"4th quarter 2017","","Dealings including private road"
7,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Izumi","Hamamatsu","1H-1H30",17000000,"","165",,"Semi-rectangular Shaped","9.5","30","1992","LS","Office","Office","East","National Highway",15.0,"Near Commercial District",80,200,"4th quarter 2017","",""
8,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Izumi","Hamamatsu","1H-1H30",13000000,"","145",90000,"Irregular Shaped","20.5","","","","","","West","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
9,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Itayamachi","Hamamatsu","8",25000000,"3LDK","70",,"","","","2001","RC","","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
10,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Itayamachi","Hamamatsu","5",24000000,"2LDK","60",,"","","","2007","RC","","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
